Cluster Label,Cluster Name,Dominant Group,Dominant Color,All Enriched,N Enriched,Best padj,Pinniped %,Cetacean %,Hippo %,Carnivore %
158,Cklf Marvel,,#666677,,0,1.0,30.8,39.6,15.0,14.7
159,Inward Rectifier,,#666677,,0,1.0,29.7,41.6,14.5,14.1
160,Ubx Containing,,#666677,,0,1.0,28.7,42.8,14.7,13.9
161,Serine Protease,,#666677,,0,1.0,30.0,39.2,15.5,15.3
162,Atp Binding,,#666677,,0,1.0,29.9,40.3,15.5,14.4
163,Coiled Coil,,#666677,,0,1.0,29.9,41.4,14.2,14.6
164,Volume Regulated,,#666677,,0,1.0,32.1,40.0,13.4,14.4
165,Density Lipoprotein,,#666677,,0,1.0,30.1,41.7,13.3,14.9
166,Integrator Complex,,#666677,,0,1.0,29.2,42.0,14.6,14.3
167,Ubiquitin Ligase,,#666677,,0,1.0,28.9,42.6,14.3,14.2
168,Atp Binding,,#666677,,0,1.0,30.2,40.2,13.9,15.7
169,Transcription Factor,,#666677,,0,1.0,29.4,41.7,14.6,14.3
170,Dnaj Subfamily,,#666677,,0,1.0,31.7,37.4,14.2,16.8
171,Calcium Binding,,#666677,,0,1.0,30.5,40.8,14.0,14.7
172,Ubiquitin Ligase,,#666677,,0,1.0,29.0,41.2,14.4,15.4
173,Solute Carrier,,#666677,,0,1.0,32.6,39.0,13.4,15.0
174,Tyrosine Kinase,,#666677,,0,1.0,28.4,41.9,14.0,15.7
175,Repeat Containing,,#666677,,0,1.0,29.3,41.9,14.6,14.2
176,Thymosin Beta,,#666677,,0,1.0,33.7,40.1,12.6,13.6
177,Interleukin Receptor,,#666677,,0,1.0,29.3,42.2,14.2,14.2
178,Kelch Repeat,,#666677,,0,1.0,29.1,42.7,14.4,13.8
179,Amino Acid,,#666677,,0,1.0,33.8,37.5,15.5,13.2
180,Lumen Retaining,,#666677,,0,1.0,30.5,40.9,14.8,13.8
181,Integrin Beta,,#666677,,0,1.0,30.8,38.1,15.7,15.5
182,Proteasome Beta,,#666677,,0,1.0,30.5,41.4,14.5,13.6
183,Rna Helicase,,#666677,,0,1.0,29.2,44.0,13.6,13.2
184,Complement Tumor,,#666677,,0,1.0,28.6,42.1,14.8,14.5
185,Zinc Finger,,#666677,,0,1.0,28.0,42.9,14.8,14.4
186,Repeat Containing,,#666677,,0,1.0,28.5,42.0,14.8,14.8
187,Exosome Complex,,#666677,,0,1.0,28.2,42.8,14.9,14.1
188,Solute Carrier,,#666677,,0,1.0,29.7,41.0,14.6,14.6
189,Small Ubiquitin,,#666677,,0,1.0,32.8,39.8,12.0,15.4
